000000;Black;Gray;(0,0,0)
000080;Navy;Blue;(0,0,128)
00008b;DarkBlue;Blue;(0,0,139)
00009c;DukeBlue;Blue
0000cd;MediumBlue;Blue;(0,0,205)
0000ff;Blue;Blue;(0,0,255)
000f89;PhthaloBlue;Blue
001440;CetaceanBlue;Blue
00147e;DarkImperialBlue;Blue
0014a8;Zaffre;Blue
0018a8;Blue (Pantone);Blue
0018f9;Blue;Blue
002147;OxfordBlue;Blue
002366;RoyalBlue (dark);Blue
002387;ResolutionBlue;Blue
002395;ImperialBlue;Blue
002e63;CoolBlack;Black
00308f;AirForceBlue (USAF);Blue
003151;Prussian;Blue;Blue
003153;PrussianBlue;Blue
003171;PrussianBlue;Blue
003366;DarkMidnightBlue;Blue
003399;DarkPowderBlue;Blue
0033aa;UABlue;Blue
0038a7;PhilippineBlue;Blue
0038a8;RoyalAzure;Blue
003a6c;AteneoBlue;Blue
003b6f;TardisBlue;Blue
004040;RichBlack;Blue
0040be;PanasonicBlue;Blue
00416a;DarkImperialBlue;Blue
004225;BritishRacingGreen;Green
004242;WarmBlack;Black
00468c;MidnightBlue;Blue
0047ab;CobaltBlue;Blue
0048ba;AbsoluteZero;Blue
004953;MidnightGreen
004b49;DeepJungleGreen
004f98;USAFABlue
00563f;CastletonGreen
006400;DarkGreen;Green;(0,100,0)
006442;GreenBambooColor
006600;PakistanGreen
0067a5;MediumPersianBlue
006994;SeaBlue
006a4e;BangladeshGreen
006b3c;CadmiumGreen
006c7f;NewBridge
006db0;HonoluluBlue
00703c;DartmouthGreen
0070b8;SpanishBlue
0070ff;BrandeisBlue
0072b1;LinkedinBlue
0072bb;FrenchBlue
0073cf;TrueBlue
007474;Skobeloff
00755e;TropicalRainForest
0077be;OceanBoatBlue
0078d7;MicrosoftEdgeBlue
007aa5;CGBlue
007ba7;CeladonBlue
007bb8;StarCommandBlue
007f5c;SpanishViridian
007f66;GenericViridian
007fff;Azure
008000;Green;Green;(0,128,0)
008001;Green
008080;Teal;Cyan;(0,128,128)
0080fe;Azure;Blue
00827f;TealGreen
008543;PhilippineGreen
0087bd;Blue (NCS)
0088dc;BlueCola
008b8b;DarkCyan;Cyan;(0,139,139)
008ecc;Olympic;Blue
009000;IslamicGreen
009150;SpanishGreen
0093af;Blue
0095b6;BondiBlue
009698;ViridianGreen
009966;Green-cyan
009b7d;PaoloVeroneseGreen
009e60;ShamrockGreen
009f6b;Green (NCS)
00a2ed;MicrosoftBlue
00a550;Green
00a693;PersianGreen
00a86b;Jade
00a870;SesameStreetGreen
00a877;Green
00aaee;VividCerulean
00ab66;GOGreen
00ad43;Green (Pantone)
00b7eb;Cyan
00b9fb;BlueBolt
00bfff;DeepSkyBlue;Blue;(0,191,255)
00c3e3;HawaiiBlue
00c5cd;TurquoiseSurf
00cc33;VividMalachite
00cc99;CaribbeanGreen
00cccc;RobinEggBlue
00ccff;VividSkyBlue
00ced1;DarkTurquoise;Cyan;(0,206,209)
00dea4;AsdaGreen
00fa9a;MediumSpringGreen;Green;(0,250,154)
00ff00;Lime;Green;(0,255,0)
00ff7f;SpringGreen;Green;(0,255,127)
00ffcd;SeaGreen
00ffef;TurquoiseBlue
00ffff;Aqua;Cyan;(0,255,255)
010203;RichBlack (FOGRA39)
010b13;RichBlack (FOGRA29)
013220;DarkGreen
014421;ForestGreen (traditional)
01796f;PineGreen
02075d;DarkNavy
0247fe;Blue (RYB)
035096;MediumElectricBlue
03c03c;DarkPastelGreen
043927;SacramentoStateGreen
044f67;LightBlueSilk (Hanada)
046307;EmeraldGreen
056608;DeepGreen
059033;NorthTexasGreen
062a78;CatalinaBlue
064e40;Blue-green
080808;VampireBlack
08457e;DarkCerulean
